Device,Category,Price (INR),Age (months),Physical Condition,Performance,Surface Wear,Internal Damage,Accessories Condition,Repair Cost (INR),Resale Price (INR)
Sharp LED,TV,120301,31,0,1,1,1,1,10300,101992
LG Microwave,Appliance,127968,26,4,2,4,5,1,41800,98960
LG Microwave,Appliance,182331,9,5,4,5,0,5,28500,151910
Lenovo Monitor,Monitor,61215,55,2,3,4,1,1,22800,47211
Sony PlayStation,Gaming Console,152290,1,2,3,3,3,2,32100,143212
Lenovo Monitor,Monitor,108135,10,1,2,4,4,3,35400,100964
Canon DSLR,Camera,45045,5,1,3,2,4,4,36200,55713
Samsung TV,TV,124664,45,1,0,1,4,4,25700,94505
Canon DSLR,Camera,177267,39,1,2,5,4,5,38500,126497
Samsung Refrigerator,Appliance,73885,2,4,2,3,1,4,22700,72675
Bose Speaker,Audio,27130,39,3,2,1,0,0,10500,24919
Xiaomi Tablet,Tablet,97352,19,3,5,5,4,4,48700,89089
Microsoft Xbox,Gaming Console,57757,27,5,5,4,3,0,41000,56598
Dell Laptop,Laptop,119330,51,3,4,5,5,5,51500,83625
Panasonic VCR,Appliance,108484,14,5,1,5,2,4,28700,89204
Dell Laptop,Laptop,146848,38,5,1,2,2,1,21800,103414
Sony Headphones,Audio,89588,41,1,0,0,2,4,14200,72947
Xiaomi Tablet,Tablet,47721,14,0,1,3,4,3,29900,52650
Lenovo Monitor,Monitor,66288,26,0,2,5,3,5,32500,63314
Sharp LED,TV,192694,37,4,4,3,3,0,35500,136257
Sony PlayStation,Gaming Console,174015,30,1,4,2,1,0,21000,144492
Lenovo Monitor,Monitor,163212,32,2,1,1,1,0,11500,129791
Xiaomi Tablet,Tablet,42192,52,2,3,1,5,3,39900,44421
LG Microwave,Appliance,111600,47,3,4,0,0,4,18200,87778
HP Printer,Printer,63826,26,5,3,2,5,3,44400,62410
Samsung Refrigerator,Appliance,140399,55,3,4,0,5,0,40000,99325
Sony Headphones,Audio,190611,41,4,1,4,0,2,14600,128338
GoPro Camera,Camera,168787,15,0,4,5,3,2,36100,147172
HP Printer,Printer,70055,30,2,0,3,0,0,6500,55791
GoPro Camera,Camera,120779,39,0,3,3,2,1,24300,97299
Canon DSLR,Camera,195931,49,5,0,5,3,1,28300,111136
Sony PlayStation,Gaming Console,125234,38,4,3,3,3,1,33300,93043
Microsoft Xbox,Gaming Console,93975,23,3,5,2,1,5,30000,86891
Sony PlayStation,Gaming Console,172162,14,2,1,1,0,5,10500,155031
Lenovo Monitor,Monitor,46514,27,1,3,0,1,2,16600,46674
Lenovo Monitor,Monitor,22083,31,4,2,3,4,5,38500,33052
Asus ZenBook,Laptop,90316,33,2,5,2,1,0,25000,78882
Sharp LED,TV,155137,28,4,1,5,4,0,34500,110332
Sharp LED,TV,107410,22,5,0,2,2,5,22000,87261
Lenovo Monitor,Monitor,162917,28,2,5,2,5,2,46600,134084
Lenovo Monitor,Monitor,154610,22,4,1,3,2,4,24700,122123
Xiaomi Tablet,Tablet,111520,49,3,1,5,4,5,37500,76183
Lenovo Monitor,Monitor,67976,54,2,1,3,4,0,29500,52137
Sharp LED,TV,38796,56,3,4,3,2,3,31900,37676
LG Microwave,Appliance,132730,56,3,1,1,0,4,10700,90297
Sony PlayStation,Gaming Console,122825,3,1,3,3,4,4,37700,120181
Sony PlayStation,Gaming Console,170849,23,1,0,2,0,1,4800,143350
Asus ZenBook,Laptop,188064,42,3,3,3,3,3,33900,131669
iPhone 13,Phone,67387,23,5,4,3,1,4,29700,62358
GoPro Camera,Camera,104182,27,4,2,1,2,0,21500,86282
LG Microwave,Appliance,19749,52,5,1,5,1,2,22100,21319
Sharp LED,TV,26157,38,1,5,5,5,4,51700,41283
Apple Watch,Wearable,147614,15,5,2,1,0,3,14900,126279
Sharp LED,TV,45299,46,1,1,2,4,5,31000,44038
LG Microwave,Appliance,136150,14,1,2,0,2,0,17000,126950
Asus ZenBook,Laptop,97897,55,1,1,5,0,5,15500,66978
Sony PlayStation,Gaming Console,56796,40,3,2,3,2,0,23500,48099
Xiaomi Tablet,Tablet,45850,13,0,2,3,0,0,10500,45369
Asus ZenBook,Laptop,133924,31,2,4,1,2,1,26300,112923
Sony Headphones,Audio,21173,3,2,1,1,3,5,25500,31065
Lenovo Monitor,Monitor,150660,53,2,5,3,4,3,43900,105566
Apple Watch,Wearable,9944,58,4,5,5,2,2,38100,23923
Panasonic VCR,Appliance,4554,45,4,5,5,4,5,50500,27595
HP Printer,Printer,77374,18,1,3,1,2,4,24700,76570
Samsung TV,TV,178417,37,1,0,1,5,4,30700,135781
Canon DSLR,Camera,121711,35,4,3,4,5,3,46400,91967
iPhone 13,Phone,162244,37,2,2,5,3,1,31300,115430
Microsoft Xbox,Gaming Console,83204,6,1,1,4,2,1,20800,79459
Bose Speaker,Audio,42410,50,1,2,4,4,5,37000,42674
Sony Headphones,Audio,70280,20,0,1,0,3,0,18000,68035
Microsoft Xbox,Gaming Console,138572,53,4,4,4,3,0,37000,89865
Philips Air Purifier,Appliance,197520,20,0,0,5,5,5,36500,156514
Sony Headphones,Audio,143156,13,1,0,1,3,5,21500,130285
Bose Speaker,Audio,175512,10,4,1,3,3,1,27300,145284
Sony Headphones,Audio,57656,57,0,4,5,2,4,32700,49502
Canon DSLR,Camera,86194,17,0,5,2,5,4,46200,89900
Asus ZenBook,Laptop,122482,58,0,2,3,4,0,30500,85065
Apple Watch,Wearable,97824,50,2,4,3,1,2,25100,74179
iPhone 13,Phone,191302,39,2,5,3,0,2,23100,146418
LG Microwave,Appliance,88970,51,1,0,5,1,4,16700,62177
Panasonic VCR,Appliance,65154,42,3,2,1,3,5,29500,57100
Apple Watch,Wearable,17777,20,0,4,1,0,0,13500,22394
Sony Headphones,Audio,94584,25,0,0,5,0,1,8300,77453
Sony PlayStation,Gaming Console,98369,45,0,3,3,0,1,14300,77484
Apple Watch,Wearable,129329,34,0,2,5,3,4,31700,102500
MacBook Pro,Laptop,160896,19,1,1,0,0,2,5600,145193
Microsoft Xbox,Gaming Console,45996,37,0,4,3,1,3,23900,45757
iPhone 13,Phone,55245,16,0,1,1,1,1,10300,53766
HP Printer,Printer,112849,23,1,5,0,5,1,41800,107229
Bose Speaker,Audio,148028,36,0,4,5,2,0,29500,115409
Sony Headphones,Audio,67224,26,3,2,2,5,5,41000,65540
Sony PlayStation,Gaming Console,150936,15,4,1,3,2,4,24700,124797
Sharp LED,TV,47538,23,0,0,3,5,2,31100,50015
iPhone 13,Phone,186096,30,4,5,0,2,1,29800,150750
Bose Speaker,Audio,17771,27,0,1,3,3,4,25700,26089
Apple Watch,Wearable,37194,19,4,2,0,3,1,25800,41353
HP Printer,Printer,44778,9,2,1,1,0,4,9700,44926
Bose Speaker,Audio,14188,13,5,1,0,1,1,13800,18463
Samsung Refrigerator,Appliance,166905,30,1,4,3,5,5,46500,135076
GoPro Camera,Camera,144746,14,3,3,0,2,2,23600,131939
Sony PlayStation,Gaming Console,41476,2,1,5,0,5,5,45000,58584
Sharp LED,TV,149764,7,5,5,0,3,3,37400,139260
Bose Speaker,Audio,107943,30,3,1,2,0,3,11400,86657
Apple Watch,Wearable,105009,41,4,3,5,4,4,43700,78030
Philips Air Purifier,Appliance,117640,5,5,3,1,0,3,17900,109532
Samsung TV,TV,41933,38,3,4,4,2,2,32600,42718
Canon DSLR,Camera,116433,44,5,0,3,3,3,26900,78652
Dell Laptop,Laptop,37027,44,1,0,1,5,2,29100,38247
iPhone 13,Phone,40076,40,0,2,1,0,0,7500,35009
HP Printer,Printer,127212,17,0,5,2,2,5,32000,122222
Panasonic VCR,Appliance,144467,23,4,4,0,3,5,35000,125128
Sony PlayStation,Gaming Console,70045,45,1,0,5,1,4,16700,52829
LG Microwave,Appliance,10810,18,5,0,5,4,5,36500,25060
iPhone 13,Phone,67394,23,5,3,2,3,0,32000,62165
iPhone 13,Phone,22921,22,1,1,1,2,5,19500,28316
LG Microwave,Appliance,157084,33,5,1,0,1,3,15400,120015
iPhone 13,Phone,70389,52,4,4,5,5,4,51700,58229
Microsoft Xbox,Gaming Console,17517,33,4,1,1,3,5,27500,25574
Panasonic VCR,Appliance,90753,18,3,3,3,2,3,28900,82515
Philips Air Purifier,Appliance,95231,2,4,5,3,3,3,40900,95682
Philips Air Purifier,Appliance,11376,48,3,1,3,0,4,13700,14131
Bose Speaker,Audio,87032,36,3,1,1,3,5,26500,72432
Lenovo Monitor,Monitor,62223,13,2,3,3,2,4,28700,63817
Samsung Refrigerator,Appliance,172614,36,1,2,0,0,3,9400,142791
GoPro Camera,Camera,105482,6,5,2,0,4,3,33400,100031
Apple Watch,Wearable,58184,16,0,3,3,4,1,34300,62534
Microsoft Xbox,Gaming Console,13119,40,4,0,1,5,3,32900,24321
Canon DSLR,Camera,51960,11,3,5,4,5,5,53000,63132
Bose Speaker,Audio,67203,19,1,5,4,5,4,50200,72478
Sony PlayStation,Gaming Console,24175,60,2,4,4,5,3,47400,35304
GoPro Camera,Camera,191205,40,4,4,3,3,2,37100,133273
Samsung Refrigerator,Appliance,6933,14,0,0,0,3,1,15800,13932
Lenovo Monitor,Monitor,186459,43,2,5,0,5,3,44400,142466
Philips Air Purifier,Appliance,40909,60,4,5,4,2,2,36600,38754
Lenovo Monitor,Monitor,113337,58,2,1,5,1,5,21500,73085
Sharp LED,TV,117519,19,3,0,0,4,0,23000,101402
Samsung TV,TV,57409,46,4,3,0,4,2,34600,52319
Lenovo Monitor,Monitor,195806,26,4,2,0,5,4,38200,154206
Sony PlayStation,Gaming Console,127798,2,4,2,1,1,2,18100,120234
Lenovo Monitor,Monitor,43416,21,4,0,5,0,1,12300,37192
Sony PlayStation,Gaming Console,23163,1,3,0,5,5,4,38700,36375
Microsoft Xbox,Gaming Console,149357,26,2,5,0,0,1,17800,132866
Philips Air Purifier,Appliance,117784,45,5,4,1,5,3,45900,88320
Sony Headphones,Audio,119695,43,5,5,3,1,2,31100,87965
Sony Headphones,Audio,61987,59,2,2,1,5,3,36900,52233
Microsoft Xbox,Gaming Console,156299,45,4,1,3,1,4,19700,105974
Asus ZenBook,Laptop,24732,35,4,0,2,3,1,22800,27352
Asus ZenBook,Laptop,129889,18,3,2,3,4,3,35900,110171
Bose Speaker,Audio,23594,20,5,1,3,0,3,14900,24910
Bose Speaker,Audio,135382,20,0,0,5,4,5,31500,113225
Canon DSLR,Camera,121533,59,2,4,1,0,2,17100,86939
Asus ZenBook,Laptop,162318,13,2,5,3,2,5,35500,146793
Bose Speaker,Audio,175147,17,5,2,1,2,4,25700,145086
Sony Headphones,Audio,161394,28,5,0,2,4,1,28800,117692
Sony Headphones,Audio,99715,54,2,3,4,4,5,41000,73349
Apple Watch,Wearable,12192,58,4,3,3,2,5,31500,22212
Sony Headphones,Audio,142723,17,5,2,4,2,5,31000,114692
Samsung TV,TV,56573,46,0,5,2,3,4,36200,56004
Philips Air Purifier,Appliance,167402,34,0,4,0,3,5,31000,144400
Lenovo Monitor,Monitor,86779,48,4,0,5,3,1,27300,58775
Bose Speaker,Audio,86894,7,4,3,3,0,3,19900,81638
Dell Laptop,Laptop,85034,50,3,5,5,5,1,51300,67317
Xiaomi Tablet,Tablet,113878,28,5,1,0,4,1,28800,91837
Microsoft Xbox,Gaming Console,159754,44,3,2,4,3,2,31600,108457
GoPro Camera,Camera,56619,19,2,3,1,1,4,20700,57061
Samsung TV,TV,74353,36,3,5,5,5,3,52900,68088
Philips Air Purifier,Appliance,12975,41,0,1,3,4,1,28300,22649
HP Printer,Printer,127252,34,4,0,2,3,0,22000,93714
HP Printer,Printer,104257,28,4,4,3,1,0,25500,85730
iPhone 13,Phone,88121,2,1,4,5,4,0,40500,89866
Samsung TV,TV,187395,55,4,4,4,4,3,44400,113087
LG Microwave,Appliance,189681,21,3,3,2,5,1,40800,152228
Panasonic VCR,Appliance,181108,11,0,3,0,2,2,20600,174203
iPhone 13,Phone,183235,36,5,4,0,2,3,29400,139300
Lenovo Monitor,Monitor,83402,9,0,3,3,5,0,38500,85555
Sony PlayStation,Gaming Console,138374,7,4,0,2,3,5,26000,121624
Xiaomi Tablet,Tablet,47023,15,1,1,2,5,4,35200,53573
Lenovo Monitor,Monitor,37242,53,1,4,0,3,2,29600,39194
Canon DSLR,Camera,174957,17,2,5,2,1,5,29000,157090
LG Microwave,Appliance,42935,33,1,4,3,2,5,31500,46449
Samsung TV,TV,80668,26,1,3,4,0,2,17600,70914
iPhone 13,Phone,138359,49,2,3,4,0,5,21000,98358
Samsung Refrigerator,Appliance,127621,47,2,1,0,2,3,17400,96120
Apple Watch,Wearable,187933,52,1,4,4,4,4,42200,126342
MacBook Pro,Laptop,73822,26,2,3,5,4,2,40100,68034
Dell Laptop,Laptop,150881,24,4,5,3,3,1,39300,122249
iPhone 13,Phone,152960,37,5,3,1,4,1,36300,112220
Apple Watch,Wearable,51084,51,3,4,1,4,0,36500,48134
Samsung TV,TV,38196,4,0,0,3,1,5,13500,41126
Panasonic VCR,Appliance,172807,39,2,1,4,2,3,23400,123161
Sony Headphones,Audio,18608,42,3,1,2,2,2,20600,22395
Xiaomi Tablet,Tablet,166383,57,0,4,1,0,0,13500,122386
Canon DSLR,Camera,36757,4,4,2,2,5,1,38800,47335
Samsung TV,TV,14768,44,4,1,0,2,0,17000,18247
Sony PlayStation,Gaming Console,186791,46,0,1,5,1,3,17900,130364
Panasonic VCR,Appliance,169662,60,0,3,5,4,2,38100,107274
Panasonic VCR,Appliance,69313,9,4,3,2,0,4,19200,67476
Sony PlayStation,Gaming Console,17199,60,4,4,4,1,1,27800,22843
Canon DSLR,Camera,33791,55,5,5,5,2,5,41500,37139
Asus ZenBook,Laptop,184880,20,3,0,5,0,1,11300,142461
Asus ZenBook,Laptop,176165,15,3,1,3,3,5,29500,145993
Sony PlayStation,Gaming Console,105361,12,5,0,3,0,5,13500,88932
MacBook Pro,Laptop,7874,41,0,1,2,3,0,21000,15972
Sharp LED,TV,197557,30,2,0,0,4,0,22000,155217
GoPro Camera,Camera,77593,2,1,4,2,0,2,17600,80961
Philips Air Purifier,Appliance,149519,47,1,2,2,0,4,13200,112011
GoPro Camera,Camera,136605,3,2,1,0,1,3,12400,132560
Panasonic VCR,Appliance,142285,60,1,5,5,2,5,37500,95584
Dell Laptop,Laptop,88552,35,5,2,4,4,2,38600,69332
iPhone 13,Phone,149576,60,0,0,1,1,2,8100,102770
Samsung Refrigerator,Appliance,65201,2,0,3,5,2,4,29700,70271
Sharp LED,TV,5670,29,3,0,1,3,3,21900,15004
Microsoft Xbox,Gaming Console,57008,11,0,1,0,5,4,31200,63772
iPhone 13,Phone,52416,2,3,3,3,5,0,41500,61110
Asus ZenBook,Laptop,92360,22,3,4,5,0,3,24900,79873
GoPro Camera,Camera,94428,59,2,1,3,2,0,19500,63102
Bose Speaker,Audio,189574,5,4,1,1,2,0,18500,167544
Apple Watch,Wearable,180821,13,1,5,2,3,1,34800,164769
Samsung Refrigerator,Appliance,165802,60,4,0,3,5,0,33500,93019
Philips Air Purifier,Appliance,136430,32,3,3,3,1,5,25500,108251
Samsung TV,TV,147735,16,0,2,4,4,2,33600,129079
Bose Speaker,Audio,52107,53,5,4,4,1,0,28000,41877
Xiaomi Tablet,Tablet,57441,53,4,4,5,3,4,41700,49283
GoPro Camera,Camera,92405,36,0,3,3,4,2,35100,80385
Sony Headphones,Audio,133640,13,5,1,5,1,0,20500,105803
Sony Headphones,Audio,177384,56,1,1,4,0,4,13200,116578
Panasonic VCR,Appliance,40857,4,0,3,3,2,5,27500,49704
Panasonic VCR,Appliance,150954,13,0,5,1,1,5,25500,147854
Apple Watch,Wearable,191119,55,0,3,0,5,5,38000,138449
Samsung TV,TV,93336,24,2,1,0,2,2,16600,82969
Lenovo Monitor,Monitor,75312,37,4,4,0,2,5,30000,67342
Bose Speaker,Audio,163585,26,2,1,3,1,4,17700,131539
Sharp LED,TV,48444,54,3,0,1,1,1,10300,35670
Sony PlayStation,Gaming Console,87957,21,4,1,2,2,3,22400,75848
Asus ZenBook,Laptop,58341,39,4,1,1,1,4,16700,48314
MacBook Pro,Laptop,50670,7,5,1,1,3,3,26900,53226
MacBook Pro,Laptop,130420,59,3,1,5,2,4,26700,79212
Microsoft Xbox,Gaming Console,15931,24,5,5,2,5,4,51200,35796
Apple Watch,Wearable,3705,22,0,4,1,1,4,21700,13999
Apple Watch,Wearable,22325,14,0,0,3,0,5,8500,23673
Xiaomi Tablet,Tablet,147193,47,4,2,5,2,1,28300,94370
GoPro Camera,Camera,168604,19,2,4,2,3,5,36000,146982
iPhone 13,Phone,130445,3,0,1,1,2,4,17700,129512
Samsung Refrigerator,Appliance,27383,14,4,5,3,4,0,43500,41192
Samsung Refrigerator,Appliance,112272,32,3,2,0,3,4,27200,94436
Bose Speaker,Audio,151049,31,5,5,1,1,2,28100,120540
MacBook Pro,Laptop,20228,38,1,5,0,1,3,23400,27276
Asus ZenBook,Laptop,3441,43,0,5,2,3,1,33800,19257
Apple Watch,Wearable,184638,28,3,2,3,4,1,34300,139011
Bose Speaker,Audio,59042,6,0,4,3,1,0,21500,63297
Canon DSLR,Camera,79012,30,1,2,3,2,3,23900,69629
Dell Laptop,Laptop,62894,44,5,5,2,1,5,32000,54994
Lenovo Monitor,Monitor,151351,54,3,1,1,2,4,20700,102674
Lenovo Monitor,Monitor,83035,27,0,3,5,1,0,21500,72611
Xiaomi Tablet,Tablet,184991,47,1,4,0,5,3,40400,139519
Samsung TV,TV,128594,9,2,4,3,1,1,24300,119526
Sony Headphones,Audio,11021,19,5,2,2,1,2,20600,18511
Philips Air Purifier,Appliance,111983,27,2,3,1,0,2,14100,97196
Apple Watch,Wearable,126100,50,2,3,0,2,4,24200,96587
Philips Air Purifier,Appliance,115927,34,2,4,2,3,5,36000,97990
iPhone 13,Phone,190298,50,4,0,0,2,1,14800,127288
Apple Watch,Wearable,75649,27,2,0,5,3,3,26900,63757
Microsoft Xbox,Gaming Console,97747,11,5,3,2,1,2,23600,88531
Samsung TV,TV,156773,2,4,5,2,0,2,23600,148193
Xiaomi Tablet,Tablet,39248,55,2,3,3,2,1,26300,36110
Lenovo Monitor,Monitor,180983,36,4,5,1,4,2,42100,136879
MacBook Pro,Laptop,195653,32,3,4,5,3,1,38300,140455
Asus ZenBook,Laptop,188714,24,0,0,5,4,5,31500,147850
iPhone 13,Phone,113248,37,0,1,0,2,5,17000,96267
Microsoft Xbox,Gaming Console,137302,37,1,1,1,1,5,14500,110913
Samsung Refrigerator,Appliance,144543,9,1,3,1,1,1,17300,138016
iPhone 13,Phone,103073,52,3,0,0,3,5,22000,74905
Sharp LED,TV,190206,46,2,1,3,4,4,32700,128572
LG Microwave,Appliance,7940,57,5,0,2,1,0,13000,10907
Xiaomi Tablet,Tablet,167700,59,1,3,4,5,4,44200,106789
Sony PlayStation,Gaming Console,106374,57,0,1,3,0,2,9100,74225
GoPro Camera,Camera,104477,37,5,1,5,4,5,39500,75645
Asus ZenBook,Laptop,8237,54,5,3,4,3,3,37400,22736
Panasonic VCR,Appliance,4918,59,0,4,0,4,4,35200,20674
Asus ZenBook,Laptop,31886,40,1,4,5,0,5,24500,33932
Panasonic VCR,Appliance,119930,46,4,5,3,0,2,25100,88106
LG Microwave,Appliance,148101,42,0,0,2,1,3,10400,113314
Samsung Refrigerator,Appliance,156039,51,1,0,3,0,2,7100,107316
Sony Headphones,Audio,180252,39,5,5,3,2,0,34500,126302
Sharp LED,TV,37031,57,1,2,4,0,3,15400,30474
Samsung TV,TV,189191,10,5,5,4,0,5,30000,160677
Philips Air Purifier,Appliance,62732,23,0,2,5,1,4,21700,58840
Apple Watch,Wearable,160752,56,0,3,5,5,1,42300,104741
Panasonic VCR,Appliance,96872,51,2,2,4,5,5,43000,72358
HP Printer,Printer,186772,49,3,3,0,1,0,17000,134571
LG Microwave,Appliance,137584,12,2,3,2,2,5,28000,126819
HP Printer,Printer,173727,17,5,1,5,3,4,33700,130641
Lenovo Monitor,Monitor,33875,1,2,0,4,0,4,11200,35241
Microsoft Xbox,Gaming Console,37206,6,3,2,5,4,4,39700,47010
Apple Watch,Wearable,131447,44,0,4,4,2,1,28800,101155
Samsung Refrigerator,Appliance,173412,48,1,4,3,3,3,34900,124965
Sharp LED,TV,116391,6,0,3,3,5,4,41700,115127
Sony Headphones,Audio,155633,52,0,5,1,1,3,23900,120893
Microsoft Xbox,Gaming Console,51044,18,1,3,5,2,3,29900,53233
Dell Laptop,Laptop,155514,28,4,0,4,2,2,21600,113439
Microsoft Xbox,Gaming Console,5858,17,1,1,5,4,0,31500,19938
Asus ZenBook,Laptop,37415,41,4,4,3,3,0,35500,40012
Bose Speaker,Audio,53837,44,5,5,4,5,5,55000,54418
HP Printer,Printer,90805,22,1,5,2,4,1,39800,88004
Samsung TV,TV,190219,7,4,4,3,3,3,37900,164468
HP Printer,Printer,117815,15,4,2,4,3,0,31000,98560
GoPro Camera,Camera,107798,57,1,2,1,0,0,8500,77014
Sony PlayStation,Gaming Console,195521,4,4,4,2,5,0,44000,170596
Panasonic VCR,Appliance,16997,12,2,5,5,0,1,25300,26248
Sharp LED,TV,184436,11,4,3,3,2,2,29100,155644
Asus ZenBook,Laptop,185939,29,0,1,3,5,3,34900,146678
HP Printer,Printer,92372,37,1,3,5,2,4,30700,75854
Panasonic VCR,Appliance,115034,17,5,1,3,4,2,34100,94698
Lenovo Monitor,Monitor,25199,13,3,4,5,3,2,39100,37567
Lenovo Monitor,Monitor,14955,25,4,2,0,5,2,36600,28694
Canon DSLR,Camera,72041,50,0,3,4,5,5,44000,63063
Dell Laptop,Laptop,73292,55,5,4,1,1,5,27500,56626
LG Microwave,Appliance,189410,24,3,0,0,5,3,30400,151575
Xiaomi Tablet,Tablet,72502,55,2,4,3,5,1,44300,60214
Dell Laptop,Laptop,30763,55,3,3,2,2,5,29000,32496
Dell Laptop,Laptop,122950,18,3,4,0,2,1,25800,112490
GoPro Camera,Camera,100638,33,0,5,5,2,5,36500,88193
Sony Headphones,Audio,117486,48,0,4,0,0,1,12800,95689
Sony PlayStation,Gaming Console,149381,23,5,5,5,1,0,32500,115588
Bose Speaker,Audio,48049,30,3,3,2,3,1,30800,48554
Microsoft Xbox,Gaming Console,66643,51,0,2,1,5,5,36500,59902
Sony PlayStation,Gaming Console,41214,2,3,3,4,1,3,25400,46908
Microsoft Xbox,Gaming Console,67736,51,0,4,5,0,0,19500,53440
Microsoft Xbox,Gaming Console,82348,9,0,3,4,5,5,44000,85820
Dell Laptop,Laptop,172864,9,2,4,5,5,2,48100,147648
GoPro Camera,Camera,59907,9,0,3,3,5,3,40900,68076
HP Printer,Printer,190509,28,1,1,1,1,1,11300,158057
Bose Speaker,Audio,16727,29,1,3,4,3,3,33400,28325
Apple Watch,Wearable,149021,38,3,4,3,1,2,26100,112894
GoPro Camera,Camera,191863,43,5,4,1,2,3,30900,135364
Bose Speaker,Audio,81303,60,3,5,3,3,5,41500,63028
Dell Laptop,Laptop,195653,12,3,1,0,4,3,28400,170722
iPhone 13,Phone,195767,28,0,1,2,5,0,31000,156452
Lenovo Monitor,Monitor,47341,47,2,2,5,0,4,18700,38938
Samsung Refrigerator,Appliance,123426,47,5,0,5,3,1,28300,76480
Canon DSLR,Camera,45350,28,3,0,4,1,2,15600,39545
Sony PlayStation,Gaming Console,126139,15,4,0,2,2,3,19400,106196
Lenovo Monitor,Monitor,177121,21,0,2,1,4,2,29100,155361
Sharp LED,TV,115899,42,5,5,1,5,1,47300,89712
MacBook Pro,Laptop,58737,47,3,2,2,2,3,24400,48911
Sharp LED,TV,160482,44,5,1,5,3,4,33700,100301
Sony PlayStation,Gaming Console,197778,37,2,0,0,1,5,11000,154822
Sharp LED,TV,21232,54,0,4,0,5,3,39400,33076
Microsoft Xbox,Gaming Console,67984,59,0,2,2,5,2,35600,56211
Sony PlayStation,Gaming Console,176279,42,0,2,5,0,2,15100,129183
Lenovo Monitor,Monitor,36615,13,2,0,4,2,4,21200,38977
Bose Speaker,Audio,33572,8,2,5,4,5,1,48800,49243
Samsung Refrigerator,Appliance,62062,29,1,1,5,4,2,33100,57201
Dell Laptop,Laptop,163378,15,3,2,4,1,2,21600,135784
GoPro Camera,Camera,124340,20,1,1,2,2,2,18600,108772
Microsoft Xbox,Gaming Console,36371,34,2,4,2,0,0,17000,35778
Canon DSLR,Camera,37540,37,0,0,4,2,5,20000,36090
Lenovo Monitor,Monitor,153476,13,2,4,5,4,5,45500,132485
Panasonic VCR,Appliance,55713,20,1,5,1,1,3,24900,59249
Dell Laptop,Laptop,199697,3,4,4,3,4,2,42100,173818
HP Printer,Printer,45128,15,5,5,3,4,0,44500,53163
Bose Speaker,Audio,96337,9,4,4,3,3,5,39500,92484
Lenovo Monitor,Monitor,124306,46,4,1,2,5,3,37400,87068
Xiaomi Tablet,Tablet,124244,58,1,0,0,0,1,1800,86628
LG Microwave,Appliance,143899,36,1,5,1,5,0,42500,119101
Samsung Refrigerator,Appliance,39913,37,3,2,5,5,5,45500,44902
HP Printer,Printer,134592,13,3,2,1,1,1,16300,120534
GoPro Camera,Camera,90981,20,3,0,3,2,0,17500,76076
Bose Speaker,Audio,178463,19,1,5,3,2,1,31300,155743
Dell Laptop,Laptop,40340,11,5,1,5,5,4,43700,47869
Samsung TV,TV,92804,7,2,3,3,3,4,33700,91557
iPhone 13,Phone,76392,59,5,1,4,1,5,23000,50078
Philips Air Purifier,Appliance,130845,36,1,3,3,0,0,14500,104075
Apple Watch,Wearable,180886,16,0,3,1,1,2,17100,167730
GoPro Camera,Camera,76502,19,0,4,5,4,2,41100,76014
LG Microwave,Appliance,176428,60,4,1,4,3,0,28000,98685
Canon DSLR,Camera,147805,6,3,3,2,5,3,42400,135010
Microsoft Xbox,Gaming Console,96576,18,4,4,4,2,4,35200,86169
Sony PlayStation,Gaming Console,148331,23,2,5,1,3,1,34300,130623
Samsung TV,TV,122608,3,0,3,5,5,1,42300,117397
Apple Watch,Wearable,45453,17,4,3,5,1,0,25500,45249
Sharp LED,TV,71853,21,4,3,0,0,0,13000,65060
Sony PlayStation,Gaming Console,21661,23,3,3,0,4,5,36000,34137
Philips Air Purifier,Appliance,23291,59,3,1,3,0,0,10500,18875
Canon DSLR,Camera,192559,47,5,3,1,4,1,36300,126946
Asus ZenBook,Laptop,193002,58,1,2,1,1,2,15100,133001
Samsung TV,TV,10314,17,4,4,0,3,2,32600,24293
HP Printer,Printer,160593,34,5,4,2,5,2,46600,118050
Asus ZenBook,Laptop,117347,36,5,1,4,5,5,43000,84867
Bose Speaker,Audio,197271,12,1,5,4,3,5,41000,174371
HP Printer,Printer,94173,45,1,4,3,0,0,17500,74200
Sony Headphones,Audio,186105,55,5,4,0,1,3,24400,124794
Samsung TV,TV,117054,30,5,0,1,4,5,30500,91335
LG Microwave,Appliance,137181,53,4,2,4,1,2,22600,87435
Lenovo Monitor,Monitor,72593,59,4,3,2,0,4,19200,52067
Philips Air Purifier,Appliance,185865,58,1,4,5,3,1,36300,116658
Apple Watch,Wearable,45014,10,0,1,0,4,4,26200,52262
Canon DSLR,Camera,25909,52,5,1,0,4,5,32000,30509
GoPro Camera,Camera,60591,29,0,1,4,3,3,26400,56523
Sharp LED,TV,135451,24,4,3,3,4,1,38300,108548
LG Microwave,Appliance,179906,51,2,3,1,2,5,26500,129289
Lenovo Monitor,Monitor,68255,14,0,4,0,4,5,36000,76017
HP Printer,Printer,82485,41,2,4,5,4,0,41500,68179
Philips Air Purifier,Appliance,44147,5,0,1,0,2,2,14600,48577
Panasonic VCR,Appliance,111018,56,4,0,2,1,5,16000,72390
HP Printer,Printer,132097,14,2,5,0,2,3,29400,126982
Sony PlayStation,Gaming Console,18858,2,2,1,0,0,2,6600,21215
Xiaomi Tablet,Tablet,5381,23,1,4,0,5,1,38800,23516
